,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking
year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
daman & diu,0.0,0.0,5.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,8.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delhi,381.0,403.0,490.0,551.0,658.0,623.0,598.0,466.0,469.0,507.0,572.0,706.0,1636.0,2096.0,964.0,893.0,797.0,881.0,1106.0,1066.0,1167.0,1136.0,1655.0,1740.0,2085.0,2160.0,3609.0,4034.0,113.0,135.0,130.0,126.0,114.0,137.0,138.0,129.0,141.0,143.0,142.0,134.0,144.0,153.0,502.0,446.0,489.0,601.0,762.0,718.0,868.0,611.0,552.0,601.0,657.0,727.0,3515.0,4322.0,90.0,128.0,105.0,130.0,225.0,144.0,167.0,130.0,118.0,80.0,162.0,208.0,916.0,1361.0,138.0,135.0,1211.0,1254.0,1324.0,1728.0,1787.0,1387.0,1283.0,1404.0,1575.0,1985.0,3033.0,3173.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goa,12.0,12.0,31.0,37.0,20.0,21.0,20.0,30.0,47.0,36.0,29.0,55.0,86.0,95.0,6.0,5.0,13.0,10.0,12.0,10.0,7.0,28.0,22.0,18.0,17.0,16.0,70.0,86.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,17.0,18.0,19.0,23.0,30.0,18.0,20.0,32.0,37.0,36.0,29.0,49.0,162.0,202.0,7.0,6.0,7.0,15.0,8.0,7.0,7.0,12.0,10.0,16.0,12.0,16.0,54.0,57.0,11.0,8.0,24.0,17.0,11.0,14.0,14.0,12.0,21.0,17.0,18.0,24.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat,286.0,267.0,236.0,339.0,324.0,354.0,316.0,374.0,433.0,408.0,439.0,473.0,732.0,841.0,857.0,807.0,859.0,905.0,916.0,945.0,1089.0,1119.0,1162.0,1290.0,1442.0,1527.0,2230.0,2187.0,67.0,62.0,54.0,58.0,48.0,50.0,42.0,27.0,24.0,19.0,30.0,21.0,29.0,23.0,756.0,750.0,722.0,757.0,802.0,736.0,822.0,828.0,727.0,668.0,685.0,745.0,1243.0,1352.0,111.0,104.0,92.0,164.0,104.0,138.0,120.0,122.0,114.0,110.0,93.0,93.0,77.0,173.0,3667.0,3321.0,3684.0,3955.0,4090.0,4977.0,5827.0,6094.0,5506.0,5600.0,6052.0,6658.0,7812.0,5991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haryana,398.0,361.0,353.0,386.0,461.0,608.0,488.0,631.0,603.0,720.0,733.0,668.0,971.0,1174.0,297.0,290.0,271.0,292.0,344.0,431.0,554.0,644.0,659.0,714.0,733.0,900.0,1957.0,1922.0,285.0,256.0,222.0,251.0,212.0,255.0,269.0,302.0,281.0,284.0,255.0,258.0,263.0,293.0,478.0,454.0,344.0,403.0,380.0,486.0,417.0,435.0,451.0,476.0,474.0,525.0,1560.0,1688.0,401.0,1424.0,1302.0,850.0,597.0,491.0,409.0,605.0,605.0,580.0,490.0,434.0,643.0,102.0,1513.0,1565.0,1618.0,2026.0,2075.0,2254.0,2412.0,2435.0,2617.0,2720.0,2740.0,3137.0,3617.0,3478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
himachal pradesh,124.0,137.0,126.0,153.0,141.0,113.0,159.0,157.0,183.0,160.0,168.0,183.0,250.0,283.0,105.0,116.0,96.0,99.0,102.0,109.0,150.0,137.0,122.0,162.0,191.0,152.0,290.0,227.0,10.0,6.0,6.0,8.0,2.0,3.0,8.0,3.0,1.0,2.0,4.0,2.0,0.0,1.0,310.0,326.0,250.0,284.0,286.0,275.0,322.0,295.0,318.0,350.0,331.0,250.0,493.0,538.0,14.0,12.0,18.0,16.0,29.0,31.0,33.0,41.0,37.0,78.0,62.0,68.0,111.0,60.0,317.0,234.0,221.0,252.0,228.0,259.0,342.0,343.0,284.0,275.0,239.0,251.0,328.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jammu & kashmir,169.0,192.0,211.0,218.0,201.0,250.0,288.0,219.0,237.0,245.0,277.0,303.0,378.0,331.0,504.0,596.0,615.0,632.0,658.0,723.0,707.0,656.0,825.0,840.0,1023.0,1041.0,949.0,813.0,13.0,18.0,10.0,9.0,5.0,10.0,9.0,21.0,12.0,9.0,11.0,8.0,7.0,5.0,622.0,785.0,875.0,990.0,830.0,960.0,986.0,935.0,972.0,1038.0,1194.0,1322.0,1389.0,1421.0,288.0,368.0,376.0,264.0,371.0,347.0,353.0,296.0,371.0,262.0,350.0,347.0,354.0,237.0,50.0,54.0,71.0,82.0,76.0,135.0,176.0,162.0,196.0,211.0,286.0,301.0,428.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jharkhand,567.0,797.0,712.0,797.0,753.0,799.0,855.0,791.0,719.0,773.0,784.0,812.0,1204.0,1050.0,279.0,178.0,262.0,178.0,283.0,410.0,534.0,499.0,517.0,696.0,660.0,786.0,926.0,885.0,217.0,275.0,262.0,275.0,257.0,281.0,303.0,266.0,295.0,276.0,282.0,302.0,307.0,350.0,297.0,411.0,424.0,411.0,293.0,414.0,342.0,271.0,276.0,245.0,317.0,284.0,524.0,440.0,5.0,3.0,2.0,3.0,36.0,44.0,15.0,23.0,83.0,16.0,7.0,10.0,18.0,18.0,484.0,588.0,559.0,588.0,590.0,668.0,801.0,851.0,710.0,650.0,659.0,1261.0,2084.0,1462.0,2.0,36.0,0.0,36.0,4.0,5.0,0.0,39.0,6.0,8.0,6.0,3.0,2.0,2.0
karnataka,293.0,292.0,321.0,291.0,343.0,400.0,436.0,446.0,509.0,586.0,636.0,621.0,1030.0,1324.0,271.0,300.0,244.0,286.0,312.0,328.0,390.0,405.0,408.0,586.0,715.0,1070.0,1359.0,1457.0,220.0,233.0,194.0,259.0,261.0,244.0,251.0,259.0,264.0,248.0,267.0,218.0,277.0,313.0,1665.0,1648.0,1585.0,1435.0,1585.0,1683.0,1828.0,1954.0,2186.0,2544.0,2608.0,2978.0,3913.0,5263.0,81.0,100.0,84.0,57.0,71.0,38.0,28.0,44.0,64.0,83.0,81.0,100.0,137.0,170.0,1755.0,1826.0,1704.0,1588.0,1883.0,2129.0,2507.0,2638.0,3185.0,3441.0,3712.0,3684.0,3276.0,3025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,12.0,32.0,0.0,0.0
kerala,562.0,499.0,394.0,480.0,478.0,601.0,512.0,568.0,568.0,634.0,1132.0,1019.0,1221.0,1347.0,97.0,91.0,102.0,142.0,129.0,202.0,177.0,166.0,173.0,184.0,221.0,214.0,185.0,143.0,27.0,17.0,33.0,31.0,21.0,25.0,27.0,31.0,20.0,22.0,15.0,32.0,21.0,28.0,1942.0,2123.0,1947.0,2260.0,2339.0,2543.0,2624.0,2745.0,2540.0,2936.0,3756.0,3735.0,4362.0,4367.0,81.0,102.0,68.0,133.0,175.0,222.0,262.0,258.0,395.0,537.0,573.0,498.0,404.0,257.0,2561.0,2836.0,2930.0,3222.0,3283.0,3708.0,3999.0,4138.0,4007.0,4797.0,5377.0,5216.0,4820.0,4919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
