"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"CHHATTISGARH","DACOITY OF SCs",0,1,0,0,0,0,0,0,0,0,0,0
"GOA","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","DACOITY OF SCs",8,11,7,4,7,6,7,7,8,6,9,5
"HARYANA","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,1,0
"HIMACHAL PRADESH","DACOITY OF SCs",0,0,8,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","DACOITY OF SCs",1,2,0,2,0,0,0,0,3,7,1,0
"KARNATAKA","DACOITY OF SCs",1,3,0,3,2,2,1,2,0,3,0,0
"KERALA","DACOITY OF SCs",0,0,1,0,0,1,1,1,1,0,0,0
"MADHYA PRADESH","DACOITY OF SCs",1,0,0,3,0,0,1,1,0,0,1,2
"MAHARASHTRA","DACOITY OF SCs",4,2,1,6,5,11,2,17,20,22,16,16
"MANIPUR","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","DACOITY OF SCs",0,2,0,0,0,1,1,7,5,0,1,1
"PUNJAB","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"RAJASTHAN","DACOITY OF SCs",0,1,0,0,0,0,0,0,0,0,0,0
"SIKKIM","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","DACOITY OF SCs",5,0,0,0,0,0,0,0,0,0,0,0
"TRIPURA","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","DACOITY OF SCs",16,4,4,5,5,1,4,3,4,3,3,3
"UTTARAKHAND","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"WEST BENGAL","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (STATES)","DACOITY OF SCs",41,29,24,26,26,30,23,50,42,41,36,27
"A & N ISLANDS","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"LAKSHADWEEP","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (UTs)","DACOITY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","DACOITY OF SCs",41,29,24,26,26,30,23,50,42,41,36,27
"ANDHRA PRADESH","ROBBERY OF SCs",2,4,15,7,0,5,0,0,4,1,0,1
"ARUNACHAL PRADESH","ROBBERY OF SCs",0,0,0,0,1,0,0,0,0,0,0,0
"ASSAM","ROBBERY OF SCs",1,2,1,1,8,11,3,6,0,0,0,0
"BIHAR","ROBBERY OF SCs",1,4,2,10,6,9,11,17,8,6,3,0
"CHHATTISGARH","ROBBERY OF SCs",1,0,3,5,0,2,1,0,0,0,1,0
"GOA","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","ROBBERY OF SCs",17,24,15,13,17,19,19,24,11,20,19,16
"HARYANA","ROBBERY OF SCs",0,1,0,0,1,1,1,0,0,3,0,3
"HIMACHAL PRADESH","ROBBERY OF SCs",0,0,6,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","ROBBERY OF SCs",0,0,0,0,0,0,0,0,1,1,0,0
"KARNATAKA","ROBBERY OF SCs",3,1,0,1,2,1,0,0,3,4,3,1
"KERALA","ROBBERY OF SCs",0,0,0,2,0,0,3,1,3,0,0,0
"MADHYA PRADESH","ROBBERY OF SCs",9,17,9,8,9,14,10,10,1,3,5,1
"MAHARASHTRA","ROBBERY OF SCs",3,2,3,6,6,7,11,6,8,20,12,13
"MANIPUR","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","ROBBERY OF SCs",1,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","ROBBERY OF SCs",4,6,4,7,4,5,10,4,14,7,1,1
"PUNJAB","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,1,0
"RAJASTHAN","ROBBERY OF SCs",5,5,3,5,4,4,3,1,1,0,1,1
"SIKKIM","ROBBERY OF SCs",2,0,0,0,0,0,0,1,1,0,0,0
"TAMIL NADU","ROBBERY OF SCs",1,2,1,0,0,0,0,1,1,3,4,2
"TRIPURA","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,1,0
"UTTAR PRADESH","ROBBERY OF SCs",83,37,8,7,22,12,14,10,11,6,3,1
"UTTARAKHAND","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,1,0,0
"WEST BENGAL","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (STATES)","ROBBERY OF SCs",133,105,70,72,80,90,86,81,67,75,54,40
"A & N ISLANDS","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"LAKSHADWEEP","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (UTs)","ROBBERY OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
